Symbol,Timeframe,Preset,Regime_Name,Trade_Count,Direct_Win_Rate_Pct,Invert_Win_Rate_Pct,Direct_PF,Invert_PF,Direct_PnL_USDT,Invert_PnL_USDT,Prefer_Fading
TRUMP_USDT,5m,MICRO_BURST,CHOP_LOW (CHOP <= 55),5021,47.94,48.1,2.3,2.32,1.3614,1.3726,True
TRUMP_USDT,5m,MICRO_BURST,ADX_CHOP (ADX < 20),2260,45.49,46.68,2.09,2.19,0.5352,0.573,True
TRUMP_USDT,5m,MICRO_BURST,ADX_TRANSITION (20 <= ADX <= 30),2474,47.09,48.63,2.22,2.37,0.6414,0.6946,True
TRUMP_USDT,5m,MICRO_BURST,ADX_BREAKOUT (ADX > 30),1940,48.51,50.98,2.35,2.6,0.5414,0.6086,True
TRUMP_USDT,5m,MICRO_BURST,WITH_TREND_EMA200,3176,44.99,49.91,2.04,2.49,0.7302,0.9486,True
TRUMP_USDT,5m,MICRO_BURST,COUNTER_TREND_EMA200,3498,48.74,47.51,2.38,2.26,0.9878,0.9276,False
TRUMP_USDT,15m,FAST_SCALP,CHOP_HIGH (CHOP > 55),790,57.34,53.92,3.36,2.93,0.3182,0.2804,False
TRUMP_USDT,15m,FAST_SCALP,CHOP_LOW (CHOP <= 55),1856,59.81,58.14,3.72,3.47,0.8116,0.7682,False
TRUMP_USDT,15m,FAST_SCALP,ADX_CHOP (ADX < 20),894,55.82,53.8,3.16,2.91,0.341,0.3158,False
TRUMP_USDT,15m,FAST_SCALP,ADX_TRANSITION (20 <= ADX <= 30),985,60.2,56.75,3.78,3.28,0.4362,0.3886,False
TRUMP_USDT,15m,FAST_SCALP,ADX_BREAKOUT (ADX > 30),767,61.41,60.63,3.98,3.85,0.3526,0.3442,False
TRUMP_USDT,15m,FAST_SCALP,WITH_TREND_EMA200,1303,58.48,57.02,3.52,3.32,0.5456,0.519,False
TRUMP_USDT,15m,FAST_SCALP,COUNTER_TREND_EMA200,1343,59.64,56.74,3.69,3.28,0.5842,0.5296,False
TRUMP_USDT,15m,STANDARD,CHOP_HIGH (CHOP > 55),703,54.62,56.76,3.01,3.28,0.2564,0.2774,True
TRUMP_USDT,15m,STANDARD,CHOP_LOW (CHOP <= 55),1705,60.94,57.24,3.9,3.35,0.7726,0.6844,False
TRUMP_USDT,15m,STANDARD,ADX_CHOP (ADX < 20),788,55.71,54.82,3.14,3.03,0.2994,0.2896,False
TRUMP_USDT,15m,STANDARD,ADX_TRANSITION (20 <= ADX <= 30),926,60.58,56.16,3.84,3.2,0.415,0.3576,False
TRUMP_USDT,15m,STANDARD,ADX_BREAKOUT (ADX > 30),694,60.95,60.95,3.9,3.9,0.3146,0.3146,True
TRUMP_USDT,15m,STANDARD,WITH_TREND_EMA200,1192,57.3,56.63,3.35,3.26,0.4794,0.4682,False
TRUMP_USDT,15m,STANDARD,COUNTER_TREND_EMA200,1216,60.86,57.57,3.89,3.39,0.5496,0.4936,False
TRUMP_USDT,15m,MICRO_BURST,CHOP_HIGH (CHOP > 55),546,59.34,54.4,3.65,2.98,0.2352,0.1974,False
TRUMP_USDT,15m,MICRO_BURST,CHOP_LOW (CHOP <= 55),1605,58.5,58.44,3.52,3.52,0.6726,0.6712,False
TRUMP_USDT,15m,MICRO_BURST,ADX_CHOP (ADX < 20),694,54.61,55.62,3.01,3.13,0.253,0.2628,True
TRUMP_USDT,15m,MICRO_BURST,ADX_TRANSITION (20 <= ADX <= 30),811,61.04,55.98,3.92,3.18,0.3686,0.3112,False
TRUMP_USDT,15m,MICRO_BURST,ADX_BREAKOUT (ADX > 30),646,60.22,61.15,3.78,3.93,0.2862,0.2946,True
TRUMP_USDT,15m,MICRO_BURST,WITH_TREND_EMA200,1041,57.06,57.83,3.32,3.43,0.4152,0.4264,True
TRUMP_USDT,15m,MICRO_BURST,COUNTER_TREND_EMA200,1110,60.27,57.03,3.79,3.32,0.4926,0.4422,False
